ko
mh세트보버+선(2자)인+문+깐+야채파듀+파파+파
점심메뉴
잔치국수
잔치국수
5.000
5.000
비빔국수
비빔국수
5.000
5.000
오뎅국수
오뎅국수
5.000
5.000
열무국수
열무국수
5.000
5.000
동치미국수
동치미국수
5.000
5.000
콩국수
콩국수
5.000
5.000
저닉메뉴
닭볶음탕
김치찌개
25.000
25.000
부대찌개
골뱅이무침
18000
18000
제육볶음
동태탕
1김0000
1겨0000
36포장(버달0g)23+45)
곤까드+버小해엄+또p2a말+튀김++라)
류
광마리20000
반다리23000
땡베리2300
소쥐택주
a00음료
30어
한마리35000
한마리40000
한해리40000
